year,file,bytes,sha256,downloaded_utc,source
2015,week1_data_t100_domestic_segment_all_carriers_2015.zip,11829480,70880127a886dfe6de9a332aa0faa957f4236fea706fee2e6404d749a7b5856c,2026-09-12T01:07:30.781825+00:00,https://www.transtats.bts.gov/DL_SelectFields.aspx?QO_fu146_anzr=Nv4%20Pn44vr45&gnoyr_VQ=GEE
2016,week1_data_t100_domestic_segment_all_carriers_2016.zip,12054901,6b0ebebeb025337a32b1befa7cabadee08be9d89f7be46910a288c2d15e6ea27,2026-09-12T01:08:31.712152+00:00,https://www.transtats.bts.gov/DL_SelectFields.aspx?QO_fu146_anzr=Nv4%20Pn44vr45&gnoyr_VQ=GEE
2017,week1_data_t100_domestic_segment_all_carriers_2017.zip,12022086,222f28cc972d57412910c6c7d2b2f762fdd391da54ffd76baaa98b8e66da7397,2026-09-12T01:09:30.051070+00:00,https://www.transtats.bts.gov/DL_SelectFields.aspx?QO_fu146_anzr=Nv4%20Pn44vr45&gnoyr_VQ=GEE
2018,week1_data_t100_domestic_segment_all_carriers_2018.zip,12135924,6ad950a14fad8d6d11f7255223357539e1411159871032651cd920392916b407,2026-09-12T01:10:26.225491+00:00,https://www.transtats.bts.gov/DL_SelectFields.aspx?QO_fu146_anzr=Nv4%20Pn44vr45&gnoyr_VQ=GEE
2019,week1_data_t100_domestic_segment_all_carriers_2019.zip,12609811,0e7b245bbd7aa42afa48d2ab74bd10618ec03d60a0f6c349e9c2ae5e264a8f6c,2026-09-12T01:11:29.479706+00:00,https://www.transtats.bts.gov/DL_SelectFields.aspx?QO_fu146_anzr=Nv4%20Pn44vr45&gnoyr_VQ=GEE
2020,week1_data_t100_domestic_segment_all_carriers_2020.zip,9709697,f73d6bc5bca948d0551feb92754388107a035b0e9635bcb038dd63909547a68a,2026-09-12T01:12:20.055926+00:00,https://www.transtats.bts.gov/DL_SelectFields.aspx?QO_fu146_anzr=Nv4%20Pn44vr45&gnoyr_VQ=GEE
2021,week1_data_t100_domestic_segment_all_carriers_2021.zip,12241363,1c06e841d04035b061fc80374ac53d923ea4cef654068ece5eb4bfd39c82032f,2026-09-12T01:13:22.456937+00:00,https://www.transtats.bts.gov/DL_SelectFields.aspx?QO_fu146_anzr=Nv4%20Pn44vr45&gnoyr_VQ=GEE
2022,week1_data_t100_domestic_segment_all_carriers_2022.zip,13181268,8297744ad15c73eb2123a16a84b0d300c9263b0e6ae8be6bf07d4b9d351b272b,2026-09-12T01:15:08.677555+00:00,https://www.transtats.bts.gov/DL_SelectFields.aspx?QO_fu146_anzr=Nv4%20Pn44vr45&gnoyr_VQ=GEE
2023,week1_data_t100_domestic_segment_all_carriers_2023.zip,13368356,f8c8a2ab0b70d6ddefd50b5500f432a1e5241e9caf455f68928adc0271490e23,2026-09-12T01:16:10.390744+00:00,https://www.transtats.bts.gov/DL_SelectFields.aspx?QO_fu146_anzr=Nv4%20Pn44vr45&gnoyr_VQ=GEE
2024,week1_data_t100_domestic_segment_all_carriers_2024.zip,13687360,5f28133cade3b3011edc7e28290f9209ffa0291af6eefc19cccfbec5e478e41b,2026-09-12T01:17:18.601584+00:00,https://www.transtats.bts.gov/DL_SelectFields.aspx?QO_fu146_anzr=Nv4%20Pn44vr45&gnoyr_VQ=GEE
2025,week1_data_t100_domestic_segment_all_carriers_2025.zip,14539842,95f1e10180561f9f90807fc8ed147648406bc6d187d9396900c89e2b90c0c332,2026-09-12T01:18:18.270639+00:00,https://www.transtats.bts.gov/DL_SelectFields.aspx?QO_fu146_anzr=Nv4%20Pn44vr45&gnoyr_VQ=GEE
2026,week1_data_t100_domestic_segment_all_carriers_2026.zip,6303107,df88859624b767b17884d2e4f400df2a1d565afeca629d9e198812e45b098ba9,2026-09-12T01:18:46.726426+00:00,https://www.transtats.bts.gov/DL_SelectFields.aspx?QO_fu146_anzr=Nv4%20Pn44vr45&gnoyr_VQ=GEE
