Year,CarrierRouteMonths,Passengers,Seats,DeparturesPerformed,LoadFactor
2015,163939,705548135.0,854595066.0,8061159.0,0.8255935039531342
2016,168525,728843342.0,892157445.0,8185533.0,0.8169447512708925
2017,163638,750307963.0,917674163.0,8177634.0,0.8176191433211354
2018,168175,785793374.0,958872834.0,8399975.0,0.8194969615751988
2019,174066,818676252.0,992680249.0,8596713.0,0.8247129454068548
2020,129041,340279776.0,598765432.0,5213008.0,0.5683023064030189
2021,154990,611032239.0,803103749.0,6759313.0,0.7608384841445934
2022,161899,757310329.0,925325610.0,7423937.0,0.81842577446873
2023,166343,826030895.0,1018910089.0,7808323.0,0.8107004768307874
2024,173928,856508236.0,1054405327.0,8137678.0,0.8123140257996818
2025,182575,845236869.0,1066497964.0,8334966.0,0.792534911018358
2026,75660,336800172.0,433130678.0,3370775.0,0.7775948209330026
