Variable,MissingCount,MissingPercent,DType
TargetPassengersNextMonth,316490,16.809726473473518,float64
LoadFactor,4423,0.23491870261990386,float64
AirlineID,37,0.0019651801937455218,float64
UniqueCarrier,37,0.0019651801937455218,string
UniqueCarrierName,37,0.0019651801937455218,string
DepPerformed,0,0.0,float64
DepScheduled,0,0.0,float64
Dest,0,0.0,string
DestAirportID,0,0.0,int64
DestCityName,0,0.0,string
Distance,0,0.0,float64
DistanceMax,0,0.0,float64
DistanceMin,0,0.0,float64
Month,0,0.0,int64
Origin,0,0.0,string
OriginAirportID,0,0.0,int64
OriginCityName,0,0.0,string
Passengers,0,0.0,float64
Period,0,0.0,datetime64[ns]
Quarter,0,0.0,Int64
Route,0,0.0,object
Seats,0,0.0,float64
SegmentRows,0,0.0,int64
Year,0,0.0,int64
