TargetPeriod,TotalTargetPassengers,MeanTargetPassengers,MedianTargetPassengers,CarrierRouteObservations
2015-02-01,47509049.0,4260.519146264909,1911.0,11151
2015-03-01,59684254.0,5386.179406190777,2532.0,11081
2015-04-01,57788263.0,5157.363944667559,2379.0,11205
2015-05-01,60435418.0,5417.787359928283,2591.0,11155
2015-06-01,61631981.0,5422.48645081823,2542.5,11366
2015-07-01,61535602.0,5423.550326106117,2567.0,11346
2015-08-01,63165934.0,5386.367698473608,2471.0,11727
2015-09-01,56233326.0,5037.925640566207,2370.5,11162
2015-10-01,61113189.0,5602.602585258526,2768.0,10908
2015-11-01,56986876.0,5153.452342195696,2466.0,11058
2015-12-01,57689282.0,5132.041811226759,2357.0,11241
2016-01-01,52629170.0,4402.272689251359,1897.0,11955
2016-02-01,51419941.0,4446.553182289865,2060.0,11564
2016-03-01,61493540.0,5361.717673729183,2577.0,11469
2016-04-01,58622578.0,4995.958581898756,2214.5,11734
2016-05-01,62923763.0,5498.88691776632,2551.0,11443
2016-06-01,64229461.0,5428.453431372549,2489.0,11832
2016-07-01,66490909.0,5464.856497082272,2590.0,12167
2016-08-01,64020381.0,5188.037358184765,2360.5,12340
2016-09-01,58994547.0,5064.779103708791,2397.0,11648
2016-10-01,61747032.0,5469.663566303481,2669.0,11289
2016-11-01,59112019.0,5219.143475189829,2445.5,11326
2016-12-01,59080237.0,5150.399877953099,2408.0,11471
2017-01-01,54136911.0,4672.211184948649,2130.0,11587
2017-02-01,51265694.0,4491.08138414367,2124.0,11415
2017-03-01,63846616.0,5572.230406702741,2709.5,11458
2017-04-01,60837762.0,5355.908266572762,2608.0,11359
2017-05-01,64504215.0,5758.79073297027,2895.0,11201
2017-06-01,66133160.0,5696.714617968817,2766.0,11609
2017-07-01,69040009.0,5724.710530679934,2839.5,12060
2017-08-01,67054859.0,5506.229183774019,2599.0,12178
2017-09-01,57340046.0,4983.924033029118,2473.0,11505
2017-10-01,64540988.0,5838.699837163018,3054.5,11054
2017-11-01,61708763.0,5537.397972002872,2791.0,11144
2017-12-01,61100354.0,5401.375,2648.5,11312
2018-01-01,55952903.0,4792.129410757108,2312.5,11676
2018-02-01,54219606.0,4783.801482265749,2416.0,11334
2018-03-01,66382619.0,5861.082376832068,3071.5,11326
2018-04-01,63144243.0,5524.914078222067,2757.0,11429
2018-05-01,68059989.0,5926.505485893417,3178.5,11484
2018-06-01,69046792.0,5876.322723404255,3059.5,11750
2018-07-01,72858126.0,5866.666076173605,3059.0,12419
2018-08-01,70618781.0,5672.646879267411,2860.0,12449
2018-09-01,60548104.0,5169.307948433365,2703.0,11713
2018-10-01,66697766.0,5855.30383636204,3132.0,11391
2018-11-01,64213091.0,5585.204053231278,2971.0,11497
2018-12-01,63303068.0,5458.572734327843,2857.0,11597
2019-01-01,57985688.0,4754.094285480036,2305.0,12197
2019-02-01,55825576.0,4688.466952212984,2385.0,11907
2019-03-01,69875022.0,5862.9822117805,3139.5,11918
2019-04-01,66890031.0,5633.793565232039,3024.0,11873
2019-05-01,70539844.0,6034.7201642569935,3240.0,11689
2019-06-01,71854833.0,5870.492892156863,3095.0,12240
2019-07-01,75727385.0,5859.438641287527,3087.5,12924
2019-08-01,72976602.0,5670.728261714197,2853.0,12869
2019-09-01,63935419.0,5322.628954378954,2797.0,12012
2019-10-01,69633655.0,5959.234488660676,3180.0,11685
2019-11-01,64302908.0,5398.615397531694,2842.0,11911
2019-12-01,69186918.0,5624.49540687749,2860.0,12301
2020-01-01,61646052.0,4791.392196486865,2312.5,12866
2020-02-01,60039752.0,4870.984260911893,2546.5,12326
2020-03-01,34388813.0,2926.4584290698663,1614.0,11751
2020-04-01,2858797.0,328.4463465073529,122.0,8704
2020-05-01,9368000.0,1341.9280905314424,372.0,6981
2020-06-01,15446510.0,2374.5595695618754,1278.0,6505
2020-07-01,20645962.0,2845.7563059958648,1516.0,7255
2020-08-01,23616468.0,2817.8580121703853,1504.0,8381
2020-09-01,23364262.0,2838.91397326853,1462.0,8230
2020-10-01,27004346.0,3496.6134921662565,1984.0,7723
2020-11-01,25284126.0,3083.0540178027068,1717.0,8201
2020-12-01,26839744.0,2958.8517252783595,1554.0,9071
2021-01-01,24037793.0,2505.7638903367038,1186.0,9593
2021-02-01,24245394.0,2682.6061075459174,1401.5,9038
2021-03-01,37930286.0,4106.787137288869,2242.5,9236
2021-04-01,43040970.0,4351.96865520728,2372.0,9890
2021-05-01,51702142.0,5136.314524140672,2901.0,10066
2021-06-01,57673326.0,5212.230094893809,2877.0,11065
2021-07-01,66592047.0,5453.894103194103,3078.0,12210
2021-08-01,60554767.0,4885.024766053566,2642.0,12396
2021-09-01,53720309.0,4512.7947748655915,2379.5,11904
2021-10-01,59971154.0,5284.267688783153,2908.0,11349
2021-11-01,58595562.0,5204.330935251798,2873.0,11259
2021-12-01,59191065.0,5070.767154973015,2814.0,11673
2022-01-01,45686603.0,3824.7470071159482,1947.0,11945
2022-02-01,49057588.0,4322.254449339207,2325.5,11350
2022-03-01,64065347.0,5598.649567421131,3141.0,11443
2022-04-01,63224421.0,5376.683476486096,2960.0,11759
2022-05-01,66589496.0,5826.362411409572,3254.0,11429
2022-06-01,66402213.0,5746.124350986501,3246.5,11556
2022-07-01,69729437.0,5875.911098002865,3289.0,11867
2022-08-01,66715571.0,5611.0656854499575,3000.5,11890
2022-09-01,62842281.0,5502.344890990281,3047.0,11421
2022-10-01,67636092.0,6170.050355774493,3560.5,10962
