ForecastCalendarMonth,MeanTargetPassengers,MedianTargetPassengers,TotalTargetPassengers,Observations,MonthName
1,4303.09732458231,2000.0,352075120.0,81819,Jan
2,4369.0137092745745,2137.0,393582600.0,90085,Feb
3,5103.214658459891,2534.0,457666497.0,89682,Mar
4,4734.427080372471,2087.0,416407065.0,87953,Apr
5,5314.610839340886,2600.0,454122867.0,85448,May
6,5373.090954585262,2667.0,472418276.0,87923,Jun
7,5448.567741306045,2761.0,502619477.0,92248,Jul
8,5186.494354239627,2538.0,488723363.0,94230,Aug
9,4877.2620570344325,2443.0,436978294.0,89595,Sep
10,5538.891652482023,2887.0,478344222.0,86361,Oct
11,5186.062273283823,2640.0,453204796.0,87389,Nov
12,5102.333993546234,2553.0,458546756.0,89870,Dec
