year,file,bytes,sha256,downloaded_utc,source
2015,T100_Domestic_Segment_All_Carriers_2015.zip,11829480,3db44b4b530e7a2aa72255af77d61957f9fb65de2df58edcfd36b6ffa4fdf715,2026-09-11T23:18:57.339473+00:00,https://www.transtats.bts.gov/DL_SelectFields.aspx?QO_fu146_anzr=Nv4%20Pn44vr45&gnoyr_VQ=GEE
2016,T100_Domestic_Segment_All_Carriers_2016.zip,12054901,851681a560015551205d50d3deac856ceac2b3504d0110569876f8f2ca28d316,2026-09-11T23:19:48.109017+00:00,https://www.transtats.bts.gov/DL_SelectFields.aspx?QO_fu146_anzr=Nv4%20Pn44vr45&gnoyr_VQ=GEE
2017,T100_Domestic_Segment_All_Carriers_2017.zip,12022086,d22371f2c42a5ef02b70c116ca156eb0cc681083d7cfe48d8248bac063526319,2026-09-11T23:20:36.901001+00:00,https://www.transtats.bts.gov/DL_SelectFields.aspx?QO_fu146_anzr=Nv4%20Pn44vr45&gnoyr_VQ=GEE
2018,T100_Domestic_Segment_All_Carriers_2018.zip,12135924,4b542fd60a16329fc9ab1376dca5fc7f609a110930d927a45493c382928b13d7,2026-09-11T23:21:25.704452+00:00,https://www.transtats.bts.gov/DL_SelectFields.aspx?QO_fu146_anzr=Nv4%20Pn44vr45&gnoyr_VQ=GEE
2019,T100_Domestic_Segment_All_Carriers_2019.zip,12609811,c0d6686168cabebaa1401d9b7f25fa6374f73edc29ca54861cc8972a5b2d1ce7,2026-09-11T23:22:14.513730+00:00,https://www.transtats.bts.gov/DL_SelectFields.aspx?QO_fu146_anzr=Nv4%20Pn44vr45&gnoyr_VQ=GEE
2020,T100_Domestic_Segment_All_Carriers_2020.zip,9709697,6a35a429ac617292f3caf07fb868ae85a9dcb76ea740b03e1fa44c518aa9c34d,2026-09-11T23:22:55.834410+00:00,https://www.transtats.bts.gov/DL_SelectFields.aspx?QO_fu146_anzr=Nv4%20Pn44vr45&gnoyr_VQ=GEE
2021,T100_Domestic_Segment_All_Carriers_2021.zip,12241363,261bc3534c83817b286d6089444041b044a916b8c58c9935ebb32740b14a4647,2026-09-11T23:23:50.181447+00:00,https://www.transtats.bts.gov/DL_SelectFields.aspx?QO_fu146_anzr=Nv4%20Pn44vr45&gnoyr_VQ=GEE
2022,T100_Domestic_Segment_All_Carriers_2022.zip,13181268,bfcce29a94afc9b6a56647fd6bcfb6f605d93b3ebf6607ce07f288d849cee79e,2026-09-11T23:24:46.790302+00:00,https://www.transtats.bts.gov/DL_SelectFields.aspx?QO_fu146_anzr=Nv4%20Pn44vr45&gnoyr_VQ=GEE
2023,T100_Domestic_Segment_All_Carriers_2023.zip,13368356,78c20b633f2061919636f29233c2aadc6bf17e3eaee51298ae9fddebe0cbea5d,2026-09-11T23:27:32.519818+00:00,https://www.transtats.bts.gov/DL_SelectFields.aspx?QO_fu146_anzr=Nv4%20Pn44vr45&gnoyr_VQ=GEE
2024,T100_Domestic_Segment_All_Carriers_2024.zip,13687360,19983ffde46c73cdcab9972749ad7a249bea4efd98a152e1b1a0b5dbc0e03e83,2026-09-11T23:28:26.832571+00:00,https://www.transtats.bts.gov/DL_SelectFields.aspx?QO_fu146_anzr=Nv4%20Pn44vr45&gnoyr_VQ=GEE
2025,T100_Domestic_Segment_All_Carriers_2025.zip,14539842,ddc971b833618497e0025e7208143e3ac54552455ccab87764099a7f6e99ebf4,2026-09-11T23:29:23.168728+00:00,https://www.transtats.bts.gov/DL_SelectFields.aspx?QO_fu146_anzr=Nv4%20Pn44vr45&gnoyr_VQ=GEE
2026,T100_Domestic_Segment_All_Carriers_2026.zip,6303107,56de7b9cb21d74cfda439619088080799cf285159f2e9c273769cfb0ad7fbdb2,2026-09-11T23:29:52.385814+00:00,https://www.transtats.bts.gov/DL_SelectFields.aspx?QO_fu146_anzr=Nv4%20Pn44vr45&gnoyr_VQ=GEE
